match_id,map,score,rounds_total,winning_team_id
1-00309c0b-d5c8-47a7-bac1-19769b6ea563,de_ancient,9 / 13,22,09e34c6e-66b1-4254-ab5e-6f969f7de721
1-00537235-b7e1-40fb-9de5-589f68bdc4fd,de_mirage,7 / 13,20,e0c1d16a-a711-4680-83bf-f4c3a7a1d62b
1-006f50af-1e5e-4557-bb87-f662af02e4ea,de_cache,13 / 7,20,3bf09b69-061e-4507-aff5-fcb237b97a1e
1-0072c09b-9889-40cf-80e6-9be763d2cc99,de_anubis,13 / 9,22,0d08a64f-2251-4b92-81af-1aa3c8f337cc
1-00749f47-f5a4-4827-979e-87be84e3e6ee,de_mirage,16 / 14,30,c818006c-9e8e-479d-819d-589006677782
1-008add6c-57b0-48d7-832f-60773cebd2db,de_mirage,13 / 5,18,7d209f54-8a3b-4012-a217-8bb4b63b1c86
1-00979bab-4ecb-4b6f-a896-b690e71e2192,de_mirage,10 / 13,23,dbc62b13-80f6-4baf-9a80-0812ebb82bc3
1-00eb41f8-c489-4bd0-afe5-bf67b545795c,de_anubis,19 / 17,36,bf3b4caf-a2d2-4f79-beac-12060d29a4bc
1-01168cf9-861d-4755-bb24-05314778b0bc,de_mirage,13 / 9,22,358fd901-ea31-4f54-bc9a-52fb297e8fb4
1-0137f6e7-47c2-47e2-8e79-4901a78c5074,de_dust2,6 / 13,19,a66cccad-09ee-4222-bb11-b3720e4a7607
1-016697b4-eade-4655-b1b6-25a8b1e3a5eb,de_mirage,13 / 8,21,b46c5e6d-3858-4ca7-9e2b-6dd418608d61
1-01689838-49a2-422e-b180-b5368121329c,de_dust2,11 / 13,24,ea37b261-0365-4e97-a40f-1bddae30533a
1-0175c95b-8616-4a06-87ad-b69401798dcd,de_mirage,13 / 11,24,8f611df5-eb41-4ac1-955e-5026ac17b2a2
1-01a2b91a-49e6-4407-970a-43c5e410d346,de_nuke,16 / 14,30,738aee09-fb3c-4162-b64b-cc48350281e8
1-01e0ca7d-4c58-46b0-89b7-595aef941175,de_mirage,13 / 7,20,a2b1f76a-46ae-443b-9fb8-ea80d26a2f0f
1-01fe23a3-824a-44c6-8d84-dbd3e0706c86,de_mirage,13 / 11,24,eac299a9-532f-425e-a4dc-0f3c3314adff
1-022b0304-0736-4003-9900-04612b2d0a2f,de_dust2,2 / 13,15,820378e5-c103-40b6-b6de-44c63a4b7d1c
1-028c8c8e-8480-42ee-b1ac-55e40e4170d0,de_mirage,13 / 5,18,a66cccad-09ee-4222-bb11-b3720e4a7607
1-02980810-eb89-4d33-9a06-9eef3340c70a,de_mirage,13 / 7,20,0c499a8b-d9b6-4451-a026-37388f9d35a8
1-02d7d92d-66a5-45a2-a944-e8addd6fb75d,de_dust2,6 / 13,19,7cfbd6d1-0989-4464-b58b-30b951698fae
1-02f6f4c6-9bd3-40cf-b590-f1854bf277b1,de_dust2,13 / 5,18,7258ad00-6327-4edc-bcc7-157dfadf36f7
1-02f6f4c6-9bd3-40cf-b590-f1854bf277b1,de_inferno,9 / 13,22,c0c456cb-a121-4417-895a-7455ebdd6f9f
1-02f6f4c6-9bd3-40cf-b590-f1854bf277b1,de_nuke,8 / 13,21,c0c456cb-a121-4417-895a-7455ebdd6f9f
1-030a7c97-a7d7-405c-bea0-3b9888c86213,de_mirage,13 / 8,21,5ef80547-b457-45b0-ab79-e3f614e4fb7d
1-030e6f29-685d-4ea3-a73c-633d98bed34b,de_dust2,13 / 7,20,c6154c13-83dd-4d8d-997c-e8bbb8ae5199
1-03204399-9df1-45c2-b41a-ac30cb83fc7e,de_anubis,13 / 10,23,f3992de8-e9df-4582-b485-e9161c440430
1-0325f4ab-76c9-4227-b75d-ea6b5b1b0f08,de_ancient,6 / 13,19,34959527-ba42-437c-9553-e5e57e087883
1-034fdddb-b3e9-405f-b838-587f050cbce6,de_mirage,0 / 8,8,09e34c6e-66b1-4254-ab5e-6f969f7de721
1-0366135f-c509-4d65-bcc3-82d1f6fce66c,de_mirage,13 / 5,18,093d9086-3581-4500-8f69-20a7839f8fe1
1-038cf8e9-16ea-4b10-9aaf-9e31d5b72e9e,de_mirage,13 / 7,20,9f5d946b-5e0a-4c05-9e3e-67382432cdc1
1-03955421-5f1b-45df-bbdb-e7cb48eb7c5f,de_dust2,13 / 7,20,49326871-f2b9-4e9f-9c79-82ae1f9acd80
1-03959157-d134-4995-bcda-20dd59be5ea0,de_mirage,13 / 10,23,370ee462-d08b-4eb7-adce-fe869bee3b41
1-0398edfd-5ba3-4719-8947-73dec53b47be,de_dust2,16 / 13,29,43a14ace-24f0-4454-b556-1e4e277cad55
1-03dab5d8-3879-490f-ae1a-ea1b4b26f201,de_anubis,3 / 13,16,072ad70a-0d8b-4773-9d35-99a3eba3d1e8
1-03ff67da-9e24-4e44-bf33-9aefd5bb66e0,de_ancient,8 / 13,21,1fb315a1-aaf0-4d31-9f24-cdd6afe6e657
1-04297a39-7560-4b2b-8031-5c4424f86116,de_anubis,16 / 14,30,39d9655f-58fb-4550-93ec-6bde8df12211
1-0429e6f9-07e2-4df9-8e58-9e1b479522bc,de_mirage,13 / 9,22,0861737b-014e-43db-b266-7b2886c8a071
1-0457f066-feab-4c07-9fdc-4a7c46c2ec94,de_mirage,8 / 13,21,1fb315a1-aaf0-4d31-9f24-cdd6afe6e657
1-04af89ad-cc0f-439d-9ef3-2598edcf812e,de_dust2,2 / 13,15,fb4a2659-57ac-41f5-a831-cf2e3992a077
1-04b1ca73-e9ca-4e3f-a58d-5522e8684173,de_mirage,13 / 11,24,64858d84-258f-4e68-961d-e0ee42b83ce9
1-04fa7a99-4d38-4da9-a375-16e9de6ee24c,de_dust2,13 / 7,20,a66cccad-09ee-4222-bb11-b3720e4a7607
1-051352a7-ee9d-40cf-ad6b-06f47d609211,de_dust2,13 / 8,21,0adb9e6f-3969-4555-86f3-f8604483e611
1-051d5db6-a6fb-43f1-a4bb-7ec59e91acf5,de_mirage,6 / 13,19,df89facc-bdea-4938-b99b-e86ea940f3c6
1-051ff012-64c6-4379-ba31-958175c73695,de_mirage,5 / 13,18,c602641e-533f-43e3-9c2d-e3e8ff687ca0
1-055afa74-13ad-444e-914b-337b4e517f7b,de_mirage,16 / 19,35,2b3f6257-cf5c-446a-95ba-9f4913917608
1-056313bb-362c-4490-bc4b-0f84632c4f0d,de_mirage,7 / 13,20,5d8102de-7608-4700-b008-e4fa376338a7
1-05bf363b-5a14-4438-bbe0-69958e7e1329,de_mirage,13 / 5,18,2991b9bb-478c-4dbc-8c83-0246605022f7
1-05f4be99-0c44-4769-b15b-6baafb26a573,de_mirage,13 / 11,24,578fccfa-9b82-429c-b797-645740763f8b
1-0600a67d-514a-46cb-bf3e-7890bb849c45,de_nuke,16 / 12,28,621b97a0-92fe-480b-96cb-aad95cf2515e
1-061cf292-13d0-411e-ac91-6350aec65986,de_dust2,11 / 13,24,dd8b2125-7753-464f-8445-1ade23d31f55
